,clid,hhid,n01,n02,n_ta,n03_en,n03_co,n05,n06_1,n06_2,n06_3,n06_4,n06_5,n06_6,n06_7,n06_8,n06_9,n06_10,n06_11,n06_12,n07_mo,n07_ks
116,53.0,5.0,Yes,1,2,GREEN GROCERY,Nakuru  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,42000.0
117,53.0,5.0,Yes,2,2,GREEN GROCERY,Nakuru  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36000.0
118,55.0,4.0,Yes,1,1,OVAL CONSULTANCY,Nairobi City  ,Yes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,200000.0
119,56.0,3.0,Yes,1,1,DOTCOM FURNITURE WORKS,Kisumu  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21000.0
120,56.0,4.0,Yes,1,1,MAMA KEN VEGETABLE VENDOR,Kisumu  ,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5000.0
121,56.0,6.0,Yes,1,1,DOTCOM KINYOZI,Kisumu  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3000.0
122,56.0,7.0,Yes,1,1,MAMA VICTOR MINI SHOP,Kisumu  ,No,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14000.0
123,56.0,8.0,Yes,1,1,KAJUALE CHARCOAL VENDOR,Kisumu  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22000.0
124,56.0,9.0,Yes,1,1,MAMA FELIX SALON,Kisumu  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11000.0
125,57.0,4.0,Yes,1,1,BLESSING DRESS SHOP,Nairobi City  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36000.0
126,58.0,5.0,Yes,1,1,SELL OF CHARCOAL,Trans Nzoia  ,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,450000.0
127,58.0,7.0,Yes,1,2,KEY CUTTING,Trans Nzoia  ,Yes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,45000.0
128,58.0,7.0,Yes,2,2,BRICK LAYING,Trans Nzoia  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30000.0
129,59.0,5.0,Yes,1,1,POSHO MILL,Narok  ,No,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12000.0
130,60.0,4.0,Yes,1,1,MAMA LUYI BOUTIQUE,Kisumu  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12000.0
131,60.0,6.0,Yes,1,1,MPESA SHOP,Kisumu  ,Yes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9000.0
